product_id,current_stock,warehouse_location,last_restock_date
SKU00233,27,WH_B,2026-01-09
SKU00234,52,WH_B,2025-12-07
SKU00235,80,WH_A,2025-12-22
SKU00236,33,WH_C,2026-01-20
SKU00237,12,WH_C,2025-12-17
SKU00238,41,WH_B,2025-12-01
SKU00239,162,WH_B,2026-01-18
SKU00240,18,WH_C,2026-01-10
SKU00241,10,WH_C,2025-12-08
SKU00242,27,WH_B,2026-01-11
SKU00243,40,WH_A,2025-12-06
SKU00244,51,WH_A,2025-12-08
SKU00245,93,WH_C,2025-12-02
SKU00246,59,WH_B,2025-12-15
SKU00247,35,WH_B,2025-12-04
SKU00248,88,WH_C,2025-12-28
SKU00249,19,WH_C,2026-01-08
SKU00250,23,WH_C,2025-12-05
SKU00251,96,WH_B,2025-12-17
SKU00252,132,WH_C,2025-12-26
SKU00253,9,WH_A,2025-12-22
SKU00254,53,WH_A,2026-01-04
SKU00255,100,WH_B,2025-12-29
SKU00256,22,WH_B,2025-12-12
SKU00257,47,WH_B,2025-12-05
SKU00258,119,WH_A,2026-01-13
SKU00259,145,WH_A,2025-12-21
SKU00260,49,WH_A,2025-12-01
SKU00261,50,WH_B,2026-01-09
SKU00262,77,WH_C,2026-01-10
SKU00263,32,WH_A,2025-12-20
SKU00264,117,WH_A,2025-12-04
SKU00265,48,WH_B,2025-12-26
SKU00266,42,WH_A,2025-12-22
SKU00267,77,WH_B,2026-01-17
SKU00268,248,WH_C,2026-01-06
SKU00269,14,WH_C,2026-01-06
SKU00270,87,WH_C,2026-01-06
SKU00271,62,WH_C,2025-12-16
SKU00272,92,WH_B,2025-12-08
SKU00273,74,WH_C,2025-12-12
SKU00274,104,WH_B,2026-01-17
SKU00275,259,WH_C,2026-01-13
SKU00276,38,WH_A,2025-12-07
SKU00277,41,WH_C,2025-12-16
SKU00278,72,WH_C,2025-12-20
SKU00279,36,WH_A,2025-12-06
SKU00280,48,WH_C,2026-01-10
SKU00281,29,WH_C,2026-01-11
SKU00282,31,WH_C,2025-12-17
SKU00283,31,WH_B,2025-12-11
SKU00284,28,WH_A,2025-12-06
SKU00285,183,WH_B,2025-12-04
SKU00286,38,WH_B,2025-12-06
SKU00287,48,WH_B,2025-12-24
SKU00288,48,WH_A,2025-12-28
SKU00289,31,WH_A,2025-12-12
SKU00290,41,WH_A,2026-01-10
SKU00291,40,WH_B,2025-12-21
SKU00292,50,WH_A,2025-12-17
SKU00293,87,WH_A,2025-12-26
SKU00294,16,WH_C,2026-01-11
SKU00295,16,WH_A,2026-01-08
SKU00296,35,WH_B,2026-01-01
SKU00297,41,WH_C,2025-12-02
SKU00298,129,WH_B,2025-12-05
SKU00299,23,WH_C,2025-12-25
SKU00300,54,WH_B,2025-12-30
SKU00301,71,WH_A,2025-12-31
SKU00302,21,WH_A,2026-01-08
SKU00303,55,WH_B,2026-01-04
SKU00304,119,WH_A,2026-01-04
SKU00305,49,WH_B,2025-12-13
SKU00306,9,WH_A,2025-12-15
SKU00307,18,WH_C,2025-12-29
SKU00308,21,WH_A,2026-01-11
SKU00309,49,WH_A,2026-01-17
SKU00310,28,WH_B,2026-01-18
SKU00311,86,WH_A,2025-12-05
SKU00312,53,WH_A,2025-12-04
SKU00313,8,WH_B,2026-01-07
SKU00314,27,WH_C,2026-01-05
SKU00315,49,WH_A,2025-12-23
SKU00316,353,WH_A,2026-01-03
SKU00317,33,WH_B,2025-12-06
SKU00318,21,WH_A,2026-01-13
SKU00319,135,WH_C,2026-01-11
SKU00320,200,WH_A,2025-12-21
SKU00321,19,WH_C,2025-12-19
SKU00322,9,WH_A,2026-01-05
SKU00323,38,WH_C,2026-01-03
SKU00324,55,WH_B,2026-01-10
SKU00325,82,WH_A,2026-01-13
SKU00326,33,WH_C,2026-01-16
SKU00327,21,WH_C,2025-12-23
SKU00328,82,WH_C,2026-01-20
SKU00329,81,WH_C,2025-12-21
SKU00330,80,WH_C,2026-01-11
SKU00331,25,WH_A,2025-12-03
SKU00332,45,WH_C,2025-12-04
SKU00333,64,WH_A,2026-01-12
SKU00334,29,WH_B,2025-12-26
SKU00335,73,WH_A,2026-01-09
SKU00336,42,WH_B,2026-01-18
SKU00337,173,WH_B,2026-01-05
SKU00338,137,WH_C,2025-12-08
SKU00339,71,WH_B,2025-12-30
SKU00340,11,WH_B,2025-12-01
SKU00341,153,WH_A,2025-12-13
SKU00342,66,WH_A,2025-12-12
SKU00343,88,WH_C,2025-12-02
SKU00344,56,WH_C,2025-12-01
SKU00345,47,WH_A,2025-12-23
SKU00346,2,WH_C,2026-01-10
SKU00347,50,WH_B,2025-12-01
SKU00348,31,WH_A,2026-01-16
SKU00349,36,WH_C,2025-12-26
SKU00350,21,WH_B,2025-12-08
SKU00351,25,WH_C,2025-12-04
SKU00352,35,WH_C,2026-01-17
SKU00353,56,WH_A,2025-12-04
SKU00354,156,WH_C,2026-01-11
SKU00355,266,WH_B,2026-01-08
SKU00356,31,WH_A,2025-12-19
SKU00357,287,WH_A,2025-12-28
SKU00358,152,WH_A,2025-12-07
SKU00359,120,WH_C,2025-12-03
SKU00360,24,WH_B,2026-01-10
SKU00361,46,WH_A,2025-12-09
SKU00362,28,WH_A,2026-01-18
SKU00363,162,WH_A,2026-01-13
SKU00364,24,WH_A,2026-01-13
SKU00365,68,WH_A,2025-12-14
SKU00366,83,WH_C,2026-01-20
SKU00367,9,WH_B,2026-01-03
SKU00368,13,WH_A,2025-12-29
SKU00369,84,WH_C,2025-12-22
SKU00370,68,WH_A,2025-12-01
SKU00371,44,WH_C,2026-01-10
SKU00372,18,WH_A,2026-01-18
SKU00373,29,WH_B,2026-01-13
SKU00374,24,WH_A,2025-12-26
SKU00375,148,WH_C,2025-12-27
SKU00376,57,WH_B,2025-12-11
SKU00377,79,WH_B,2025-12-12
SKU00378,16,WH_B,2026-01-01
SKU00379,26,WH_C,2026-01-10
SKU00380,146,WH_C,2025-12-10
SKU00381,44,WH_C,2025-12-20
SKU00382,24,WH_A,2026-01-06
SKU00383,14,WH_A,2025-12-06
SKU00384,82,WH_C,2026-01-06
SKU00385,9,WH_A,2025-12-07
SKU00386,63,WH_A,2025-12-16
SKU00387,45,WH_C,2026-01-10
SKU00388,123,WH_A,2025-12-23
SKU00389,69,WH_B,2025-12-04
SKU00390,268,WH_B,2025-12-10
SKU00391,49,WH_B,2025-12-11
SKU00392,51,WH_B,2025-12-17
SKU00393,32,WH_C,2025-12-09
SKU00394,47,WH_A,2026-01-03
SKU00395,111,WH_C,2025-12-24
SKU00396,52,WH_A,2025-12-26
SKU00397,28,WH_A,2025-12-12
SKU00398,14,WH_C,2026-01-16
SKU00399,82,WH_C,2026-01-07
SKU00400,24,WH_B,2026-01-17
SKU00401,11,WH_A,2026-01-07
SKU00402,24,WH_C,2025-12-13
SKU00403,79,WH_B,2025-12-20
SKU00404,18,WH_A,2026-01-06
SKU00405,132,WH_A,2025-12-16
SKU00406,9,WH_A,2025-12-14
SKU00407,39,WH_C,2025-12-29
SKU00408,43,WH_C,2025-12-25
SKU00409,64,WH_A,2025-12-24
SKU00410,106,WH_A,2025-12-07
SKU00411,145,WH_B,2025-12-06
SKU00412,40,WH_B,2026-01-01
SKU00413,17,WH_C,2025-12-03
SKU00414,71,WH_C,2025-12-04
SKU00415,58,WH_C,2026-01-05
SKU00416,61,WH_C,2026-01-08
SKU00417,20,WH_A,2026-01-20
SKU00418,287,WH_C,2025-12-15
SKU00419,24,WH_C,2025-12-02
SKU00420,65,WH_A,2025-12-17
SKU00421,167,WH_B,2026-01-11
SKU00422,28,WH_B,2026-01-08
SKU00423,52,WH_C,2025-12-10
SKU00424,30,WH_A,2025-12-15
SKU00425,94,WH_A,2026-01-07
SKU00426,12,WH_B,2025-12-13
SKU00427,27,WH_A,2025-12-14
SKU00428,69,WH_C,2026-01-19
SKU00429,14,WH_C,2026-01-18
SKU00430,16,WH_B,2025-12-22
SKU00431,17,WH_C,2025-12-24
SKU00432,97,WH_A,2025-12-07
SKU00433,48,WH_B,2026-01-14
SKU00434,8,WH_C,2026-01-02
SKU00435,40,WH_A,2026-01-01
SKU00436,47,WH_A,2026-01-14
SKU00437,2,WH_C,2026-01-05
SKU00438,337,WH_C,2025-12-04
SKU00439,17,WH_A,2025-12-19
SKU00440,42,WH_C,2026-01-04
SKU00441,112,WH_C,2026-01-19
SKU00442,27,WH_C,2026-01-19
SKU00443,74,WH_C,2026-01-01
SKU00444,19,WH_C,2025-12-06
SKU00445,80,WH_C,2025-12-15
SKU00446,34,WH_C,2025-12-16
SKU00447,9,WH_C,2026-01-08
SKU00448,10,WH_A,2025-12-21
SKU00449,26,WH_B,2025-12-14
SKU00450,68,WH_A,2025-12-02
SKU00451,27,WH_C,2026-01-08
SKU00452,30,WH_A,2026-01-12
SKU00453,28,WH_B,2025-12-31
SKU00454,67,WH_B,2026-01-02
SKU00455,32,WH_B,2025-12-22
SKU00456,94,WH_C,2025-12-06
SKU00457,34,WH_A,2025-12-02
SKU00458,9,WH_B,2025-12-27
SKU00459,121,WH_C,2026-01-07
SKU00460,12,WH_B,2026-01-07
SKU00461,216,WH_C,2025-12-09
SKU00462,54,WH_A,2026-01-04
SKU00463,34,WH_A,2025-12-04
SKU00464,29,WH_C,2025-12-05
SKU00465,24,WH_B,2026-01-12
SKU00466,84,WH_B,2026-01-17
SKU00467,17,WH_A,2026-01-16
SKU00468,20,WH_C,2026-01-02
SKU00469,19,WH_A,2026-01-08
SKU00470,23,WH_A,2026-01-18
SKU00471,65,WH_B,2025-12-22
SKU00472,71,WH_B,2025-12-14
SKU00473,102,WH_C,2026-01-14
SKU00474,45,WH_B,2025-12-18
SKU00475,239,WH_A,2025-12-15
SKU00476,30,WH_C,2025-12-25
SKU00477,30,WH_A,2025-12-28
SKU00478,16,WH_A,2025-12-10
SKU00479,29,WH_A,2026-01-12
SKU00480,10,WH_C,2026-01-09
SKU00481,100,WH_B,2025-12-23
SKU00482,125,WH_B,2025-12-17
SKU00483,26,WH_B,2026-01-16
SKU00484,79,WH_A,2026-01-10
SKU00485,51,WH_A,2026-01-14
SKU00486,23,WH_C,2026-01-20
SKU00487,41,WH_A,2025-12-11
SKU00488,96,WH_C,2026-01-19
SKU00489,8,WH_B,2025-12-11
SKU00490,35,WH_B,2025-12-02
SKU00491,17,WH_B,2026-01-04
SKU00492,82,WH_C,2025-12-01
SKU00493,15,WH_B,2025-12-07
SKU00494,23,WH_C,2025-12-22
SKU00495,26,WH_B,2026-01-16
SKU00496,16,WH_B,2025-12-21
SKU00497,16,WH_A,2025-12-07
SKU00498,29,WH_C,2026-01-18
SKU00499,12,WH_C,2026-01-20
